frame, time,Link1: EndX (m),Link1: EndY (m),Link2: EndX (m),Link2: EndY (m),Joint1: JointValue (degree),Joint2: JointValue (degree),
1,0,0.288144135487845,-0.0835042345271343,0.700000015188017,0.200000147019954,-16.1616,50.7035,
2,0.01,0.288146016128175,-0.0834977448166211,0.699994231359458,0.200017770827243,-16.1603095631546,50.7037585095732,
3,0.02,0.288159167616091,-0.0834523463948222,0.699953759448024,0.200141049399178,-16.1512826168989,50.7055668522536,
4,0.03,0.288194781510499,-0.0833292740284921,0.699843941801003,0.200475181243309,-16.126813184291,50.7104687446652,
5,0.04,0.288263847640577,-0.083090036366886,0.699630048718017,0.201124404876191,-16.0792562328275,50.7199956946043,
6,0.05,0.288376982013374,-0.0826965310327962,0.699277022741215,0.202191440861173,-16.0010578458941,50.7356609568785,
7,0.06,0.288544207754758,-0.082111145231199,0.698749078353244,0.203776882040458,-15.8847850346237,50.7589535611807,
8,0.07,0.288774692833966,-0.0812968435958537,0.698009170216055,0.20597853391118,-15.7231550725076,50.7913324355695,
9,0.08,0.289076449149218,-0.0802172459467381,0.697018347136794,0.208890705978307,-15.5090642369896,50.8342206487464,
10,0.09,0.28945599829205,-0.0788366986418947,0.695735012928351,0.212603453475407,-15.2356158446138,50.8889997938543,
11,0.1,0.289918009973516,-0.0771203442224963,0.694114119169276,0.217201767265936,-14.8961474690833,50.95700453596,
12,0.11,0.29046491970443,-0.0750341950120033,0.692106318496486,0.222764708237086,-14.4842572348132,51.0395173447411,
13,0.12,0.291096532896564,-0.0725452171793529,0.689657110426137,0.22936448130563,-13.9938290822084,51.1377634331643,
14,0.13,0.291809623116362,-0.0696214324521321,0.686706014736931,0.237065443506156,-13.419056904957,51.2529059221293,
15,0.14,0.292597532799801,-0.0662320451101228,0.683185810105467,0.245923040754888,-12.7544674640793,51.3860412501621,
16,0.15,0.293449785344914,-0.0623476020471049,0.679021877882725,0.255982668986006,-11.9949419883017,51.5381948462732,
17,0.16,0.29435171814713,-0.0579401935087575,0.674131692552407,0.26727845761803,-11.1357363755077,51.7103170830573,
18,0.17,0.29528414683111,-0.0529837015526775,0.668424501396719,0.279831976856036,-10.1724999155427,51.9032795260075,
19,0.18,0.296223071645673,-0.0474541022968749,0.66180123606193,0.293650875242358,-9.10129246047819,52.1178714938439,
20,0.19,0.297139437694216,-0.0413298265997467,0.654154697879294,0.308727460133412,-7.91859997457638,52.3547969434337,
21,0.2,0.297998961322066,-0.0345921819342142,0.64537005673887,0.325037241318291,-6.62134840258342,52.6146716915945,
22,0.21,0.298762035507263,-0.0272258358835311,0.635325699792894,0.34253746662583,-5.20691580162119,52.8980209847472,
23,0.22,0.299383727418223,-0.0192193589167563,0.623894461029435,0.361165687807104,-3.673142688798,53.2052774260082,
24,0.23,0.299813881312823,-0.010565820940215,0.610945255564336,0.380838404837132,-2.018340563701,53.5367792679022,
25,0.24,0.2999973395515,-0.00126343263445135,0.596345133144244,0.401449846551513,-0.241298572135863,53.8927690774344,
26,0.25,0.299874293571929,0.00868378113129822,0.579961753698732,0.422870954616568,1.65871171518486,54.2733927787893,
27,0.26,0.299380775119373,0.0192652923394179,0.561666273790488,0.444948645533837,3.68193342786414,54.6786990774344,
28,0.27,0.298449295753928,0.0304633856290508,0.54133661659381,0.46750543094646,5.82812343629901,55.1086392679022,
29,0.28,0.297009639596787,0.0422525027257145,0.518861079859579,0.490339479163688,8.096553311202,55.5630674260082,
30,0.29,0.294989810400842,0.0545986424709916,0.494142216674996,0.513225199786651,10.4860121983788,56.0417409847472,
31,0.3,0.292317129350176,0.0674588458874905,0.467100903389524,0.535914427914818,12.9948115974166,56.5443216915945,
32,0.31,0.288919474576521,0.080780797287641,0.437680488762015,0.55813827408936,15.6207920254236,57.0703769434337,
33,0.32,0.284726647357924,0.0945025728978651,0.40585089929444,0.579609690545936,18.3613315395218,57.6193814938439,
